"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"11 Mar 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Alternext Paris";"EUR";"43,51";"43,51";"43,50";"43,50";"10/03/2017 14:18";"CET";"12";"522,01"
"4ENERGY INVEST";"BE0974275076";"ENINV";"Euronext Brussels";"EUR";"3,24";"3,24";"3,24";"3,24";"10/03/2017 16:30";"CET";"23";"74,52"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Marché Libre Paris";"EUR";"0,29";"0,29";"0,29";"0,29";"28/02/2017 15:00";"CET";"999";"289,71"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Marché Libre Paris";"EUR";"6,27";"6,27";"6,27";"6,27";"01/03/2017 15:00";"CET";"286";"1793,22"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"5,62";"5,62";"5,53";"5,61";"10/03/2017 16:18";"CET";"3732";"20793,56"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"Alternext Paris";"EUR";"26,89";"26,90";"26,89";"26,90";"10/03/2017 15:48";"CET";"277";"7449,78"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"35,10";"35,255";"34,94";"35,125";"10/03/2017 17:35";"CET";"316412";"11113373,25"
"AAREAL BKCAP FD TR";"XS0138973010";"DEPCF";"Euronext Amsterdam";"EUR";"25,35";"25,38";"25,32";"25,33";"10/03/2017 17:24";"CET";"10530";"266802,50"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"101,50";"101,50";"100,30";"100,70";"10/03/2017 17:35";"CET";"1569677";"158358302,75"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"15,30";"15,55";"15,20";"15,47";"10/03/2017 17:35";"CET";"90316";"1394032,98"
"ABBVIE";"US00287Y1091";"ABBV";"Euronext Paris";"EUR";"60,82";"60,82";"59,10";"59,10";"03/03/2017 11:51";"CET";"2";"119,92"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6,76";"6,82";"6,73";"6,80";"10/03/2017 17:35";"CET";"47857";"324270,59"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Marché Libre Paris";"EUR";"0,29";"0,29";"0,29";"0,29";"04/04/2016 15:00";"CET";"1";"0,29"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"26,51";"26,52";"26,51";"26,52";"10/03/2017 11:41";"CET";"67";"1776,41"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"5,64";"5,69";"5,63";"5,65";"10/03/2017 17:18";"CET";"3432";"19370,71"
"ABLYNX";"BE0003877942";"ABLX";"Euronext Brussels";"EUR";"11,56";"11,765";"11,49";"11,66";"10/03/2017 17:35";"CET";"215617";"2511624,47"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"23,70";"24,10";"23,635";"23,775";"10/03/2017 17:35";"CET";"2370295";"56538527,87"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"2,65";"2,65";"2,65";"2,65";"10/03/2017 16:30";"CET";"989";"2620,85"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0,60";"0,62";"0,60";"0,62";"10/03/2017 16:31";"CET";"12921";"7826,46"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"22,725";"23,675";"22,725";"23,365";"10/03/2017 17:37";"CET";"115637";"2689462,74"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0,039";"0,0394";"0,039";"0,0391";"10/03/2017 16:17";"CET";"247340";"9683,019"
"ACCES INDUSTRIE";"FR0010567032";"ALACI";"Alternext Paris";"EUR";"4,09";"4,09";"4,09";"4,09";"10/03/2017 15:30";"CET";"2000";"8180,00"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"38,12";"38,37";"38,065";"38,10";"10/03/2017 17:35";"CET";"979516";"37418171,505"
"ACCOR NV";"FR0013227527";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"0,70";"0,71";"0,69";"0,69";"10/03/2017 17:35";"CET";"66627";"46590,92"
"ACEP FRANCE";"FR0010762740";"MLACP";"Marché Libre Paris";"EUR";"1,95";"1,95";"1,95";"1,95";"01/03/2017 15:00";"CET";"576";"1123,20"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Alternext Paris";"EUR";"0,04";"0,04";"0,04";"0,04";"10/03/2017 14:42";"CET";"30350";"1214,00"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"144,65";"146,60";"144,60";"145,10";"10/03/2017 17:35";"CET";"73927";"10746100,65"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"1,73";"1,80";"1,63";"1,71";"10/03/2017 16:12";"CET";"35472";"62180,50"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"8,67";"8,88";"8,67";"8,83";"10/03/2017 17:35";"CET";"40080";"351467,57"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Marché Libre Paris";"EUR";"1,12";"1,12";"1,12";"1,12";"10/03/2017 15:00";"CET";"48";"53,76"
"ADA";"FR0000053076";"ALADA";"Alternext Paris";"EUR";"9,37";"9,40";"9,37";"9,40";"10/03/2017 17:20";"CET";"101";"949,37"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0,11";"0,11";"0,11";"0,11";"09/03/2017 16:30";"CET";"353";"38,83"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"17,46";"17,68";"17,46";"17,68";"10/03/2017 16:55";"CET";"86";"1520,26"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"18,85";"18,98";"18,52";"18,82";"10/03/2017 17:35";"CET";"54795";"1025789,68"
"ADOMOS";"FR0000044752";"ALADO";"Alternext Paris";"EUR";"0,07";"0,07";"0,07";"0,07";"10/03/2017 17:26";"CET";"301800";"21126,00"
"ADOMOS NV";"FR0013233517";"ADONV";"Alternext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"109,00";"110,25";"108,95";"109,90";"10/03/2017 17:35";"CET";"69819";"7666015,40"
"ADTHINK MEDIA";"FR0010457531";"ALADM";"Alternext Paris";"EUR";"2,84";"2,97";"2,80";"2,94";"10/03/2017 17:02";"CET";"13994";"40481,04"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1,96";"1,96";"1,95";"1,95";"10/03/2017 16:12";"CET";"533";"1039,36"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"36,07";"36,08";"36,00";"36,00";"10/03/2017 17:35";"CET";"65";"2342,54"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"71,52";"71,83";"71,27";"71,62";"10/03/2017 17:35";"CET";"23294";"1667075,64"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"5,379";"5,444";"5,37";"5,379";"10/03/2017 17:38";"CET";"7857153";"42457684,031"
"AFFINE R.E.";"FR0000036105";"IML";"Euronext Paris";"EUR";"15,57";"15,59";"15,31";"15,43";"10/03/2017 17:35";"CET";"2252";"34643,99"
"AFONE";"FR0000044612";"AFO";"Euronext Paris";"EUR";"6,59";"6,59";"6,40";"6,58";"10/03/2017 15:33";"CET";"387";"2521,38"
"AFRIQUE TELECOM";"FR0011233659";"MLAFT";"Marché Libre Paris";"EUR";"7,11";"7,11";"7,11";"7,11";"18/02/2014 15:00";"CET";"15";"106,65"
"AG3I";"FR0011908045";"MLAGI";"Marché Libre Paris";"EUR";"5,19";"5,19";"5,19";"5,19";"08/05/2015 15:00";"CET";"1";"5,19"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"37,00";"37,36";"37,00";"37,075";"10/03/2017 17:35";"CET";"583295";"21681344,68"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"4,08";"4,20";"4,077";"4,151";"10/03/2017 17:35";"CET";"635276";"2645417,27"
"AGROGENERATION";"FR0010641449";"ALAGR";"Alternext Paris";"EUR";"0,37";"0,38";"0,37";"0,38";"10/03/2017 17:35";"CET";"98601";"36951,37"
"AGTA RECORD";"CH0008853209";"AGTA";"Euronext Paris";"EUR";"60,00";"60,00";"60,00";"60,00";"10/03/2017 17:23";"CET";"11";"660,00"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Easynext Lisbon";"EUR";"1,97";"1,97";"1,97";"1,97";"02/02/2017 15:30";"GMT";"395";"778,15"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"20,45";"20,645";"20,42";"20,565";"10/03/2017 17:35";"CET";"3735416";"76802597,395"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"7,482";"7,52";"7,248";"7,343";"10/03/2017 17:36";"CET";"4154337";"30499112,874"
"AIR LIQUIDE";"FR0000120073";"AI";"Euronext Paris";"EUR";"102,55";"103,20";"102,10";"102,30";"10/03/2017 17:35";"CET";"639808";"65660897,45"
"AIRBUS";"NL0000235190";"AIR";"Euronext Paris";"EUR";"70,20";"70,78";"70,06";"70,06";"10/03/2017 17:35";"CET";"1299185";"91423039,54"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"8,952";"8,979";"8,859";"8,979";"10/03/2017 17:22";"CET";"19645";"175110,475"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"Euronext Paris";"EUR";"39,20";"39,70";"39,00";"39,50";"10/03/2017 17:35";"CET";"21435";"846947,88"
"AKZO NOBEL";"NL0000009132";"AKZA";"Euronext Amsterdam";"EUR";"75,15";"76,91";"74,58";"76,20";"10/03/2017 17:37";"CET";"3713812";"282118513,89"
"ALBIOMA";"FR0000060402";"ABIO";"Euronext Paris";"EUR";"16,48";"16,56";"16,35";"16,51";"10/03/2017 17:35";"CET";"32290";"531296,53"
"ALES GROUPE";"FR0000054652";"ALPHY";"Alternext Paris";"EUR";"12,15";"12,17";"12,08";"12,13";"10/03/2017 17:35";"CET";"225";"2733,52"
"ALO BSA 2016";"FR0013188513";"ALOBS";"Alternext Paris";"EUR";"0,01";"0,01";"0,01";"0,01";"10/03/2017 14:38";"CET";"20000";"200,00"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"Euronext Paris";"EUR";"19,52";"19,73";"19,47";"19,51";"10/03/2017 17:35";"CET";"4522";"88640,41"
"ALPHA MOS";"FR0000062804";"ALM";"Euronext Paris";"EUR";"0,46";"0,46";"0,46";"0,46";"10/03/2017 16:59";"CET";"1424";"655,04"
"ALSTOM";"FR0010220475";"ALO";"Euronext Paris";"EUR";"25,75";"25,82";"25,40";"25,435";"10/03/2017 17:35";"CET";"611987";"15625118,465"
"ALTAMIR";"FR0000053837";"LTA";"Euronext Paris";"EUR";"14,15";"14,35";"14,07";"14,30";"10/03/2017 17:35";"CET";"42214";"601191,66"
"ALTAREA";"FR0000033219";"ALTA";"Euronext Paris";"EUR";"177,00";"178,30";"176,90";"178,20";"10/03/2017 17:35";"CET";"8538";"1515479,15"
"ALTAREIT";"FR0000039216";"AREIT";"Euronext Paris";"EUR";"220,01";"220,01";"220,01";"220,01";"10/03/2017 11:30";"CET";"1";"220,01"
"ALTEN";"FR0000071946";"ATE";"Euronext Paris";"EUR";"67,98";"69,06";"67,87";"69,00";"10/03/2017 17:35";"CET";"48683";"3337356,26"
"ALTICE";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"20,505";"21,54";"20,505";"21,395";"10/03/2017 17:35";"CET";"3124598";"66457765,28"
"ALTICE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"20,50";"21,505";"20,50";"21,30";"10/03/2017 17:35";"CET";"1189534";"25235110,665"
"ALTRAN TECHN.";"FR0000034639";"ALT";"Euronext Paris";"EUR";"14,98";"15,52";"14,975";"15,305";"10/03/2017 17:35";"CET";"358987";"5490950,605"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"Euronext Lisbon";"EUR";"4,20";"4,225";"4,178";"4,192";"10/03/2017 16:35";"GMT";"239502";"1006192,449"
"ALTUR INVEST.";"FR0010395681";"ALTUR";"Euronext Paris";"EUR";"4,95";"4,95";"4,92";"4,94";"10/03/2017 16:16";"CET";"2134";"10506,48"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Marché Libre Paris";"EUR";"1,40";"1,40";"1,40";"1,40";"10/03/2017 15:00";"CET";"11";"15,40"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"25,44";"25,44";"24,225";"24,225";"10/03/2017 17:35";"CET";"380466";"9371859,735"
"AMOEBA";"FR0011051598";"AMEBA";"Euronext Paris";"EUR";"24,20";"24,39";"24,10";"24,11";"10/03/2017 17:22";"CET";"9779";"236631,08"
"AMPLITUDE SURGICAL";"FR0012789667";"AMPLI";"Euronext Paris";"EUR";"3,87";"3,87";"3,83";"3,83";"10/03/2017 17:29";"CET";"15228";"58618,43"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"22,955";"22,975";"22,755";"22,82";"10/03/2017 17:35";"CET";"12899";"295288,015"
"AMUNDI";"FR0004125920";"AMUN";"Euronext Paris";"EUR";"56,38";"56,59";"54,65";"54,95";"10/03/2017 17:35";"CET";"152525";"8424967,73"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"10,49";"10,49";"10,22";"10,225";"10/03/2017 17:25";"CET";"6697";"69219,685"
"ANDREW MACALLISTER";"FR0011040674";"MLAMA";"Marché Libre Paris";"EUR";"4,10";"4,10";"4,10";"4,10";"15/10/2013 15:00";"CET";"1";"4,10"
"ANEVIA";"FR0011910652";"ALANV";"Alternext Paris";"EUR";"4,03";"4,03";"4,03";"4,03";"10/03/2017 09:00";"CET";"1";"4,03"
"ANF IMMOBILIER";"FR0000063091";"ANF";"Euronext Paris";"EUR";"20,20";"20,30";"20,16";"20,22";"10/03/2017 17:35";"CET";"6630";"134111,23"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"64,05";"64,05";"64,05";"64,05";"06/03/2017 15:00";"CET";"10";"640,50"
"ANTEVENIO";"ES0109429037";"ALANT";"Alternext Paris";"EUR";"6,15";"6,15";"6,12";"6,12";"10/03/2017 17:35";"CET";"448";"2750,81"
"ANTIPODES VOYAGES";"FR0010968826";"MLANT";"Marché Libre Paris";"EUR";"13,00";"13,00";"13,00";"13,00";"15/09/2014 15:00";"CET";"140";"1820,00"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"43,00";"43,00";"42,99";"43,00";"10/03/2017 16:16";"CET";"11328";"487090,72"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"46,90";"47,37";"46,52";"46,52";"10/03/2017 17:55";"CET";"594919";"27907817,2968"
"APRIL";"FR0004037125";"APR";"Euronext Paris";"EUR";"12,09";"12,18";"11,90";"12,17";"10/03/2017 17:20";"CET";"3006";"36434,59"
"APRIL GROUP NV";"FR0013227543";"APRNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AQUILA";"FR0010340711";"ALAQU";"Alternext Paris";"EUR";"8,24";"8,24";"8,24";"8,24";"10/03/2017 15:30";"CET";"10";"82,40"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"13,25";"13,57";"13,21";"13,50";"10/03/2017 17:35";"CET";"459982";"6171160,695"
"ARCELORMITTAL";"LU0323134006";"MT";"Euronext Amsterdam, Paris";"EUR";"8,02";"8,145";"7,848";"7,888";"10/03/2017 17:39";"CET";"18879329";"151040153,959"
"ARCHOS";"FR0000182479";"JXR";"Euronext Paris";"EUR";"1,25";"1,26";"1,24";"1,25";"10/03/2017 17:35";"CET";"80978";"101378,03"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Marché Libre Paris";"EUR";"43,74";"43,74";"43,74";"43,74";"05/01/2017 15:00";"CET";"11";"481,14"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Marché Libre Paris";"EUR";"80,00";"80,00";"80,00";"80,00";"07/09/2016 15:30";"CET";"4";"320,00"
"AREVA";"FR0011027143";"AREVA";"Euronext Paris";"EUR";"4,521";"4,57";"4,51";"4,521";"10/03/2017 17:35";"CET";"20184";"91403,601"
"ARGAN";"FR0010481960";"ARG";"Euronext Paris";"EUR";"27,45";"27,49";"27,05";"27,05";"10/03/2017 17:17";"CET";"2293";"62468,26"
"ARGEN-X";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"16,31";"16,38";"16,00";"16,00";"10/03/2017 17:35";"CET";"56822";"919089,23"
"ARKEMA";"FR0010313833";"AKE";"Euronext Paris";"EUR";"89,86";"90,01";"88,52";"88,83";"10/03/2017 17:35";"CET";"243016";"21625388,06"
"ARKEMA NV";"FR0013222932";"AKENV";"Euronext Paris";"EUR";"79,10";"86,53";"79,10";"86,53";"10/03/2017 17:00";"CET";"39";"3188,92"
"AROMA CELTE";"FR0013182235";"MLARO";"Marché Libre Paris";"EUR";"1,20";"1,20";"1,20";"1,20";"09/03/2017 15:00";"CET";"200";"240,00"
"AROUNDTOWN";"CY0105562116";"ALATP";"Alternext Paris";"EUR";"4,19";"4,20";"4,11";"4,15";"10/03/2017 17:35";"CET";"742765";"3091757,68"
"ARTEA";"FR0012185536";"ARTE";"Euronext Paris";"EUR";"9,46";"9,46";"9,46";"9,46";"28/02/2017 16:30";"CET";"100";"946,00"
"ARTHUR MAURY";"FR0010772426";"MLAMY";"Marché Libre Paris";"EUR";"0,03";"0,03";"0,03";"0,03";"10/03/2017 15:00";"CET";"10000";"300,00"
"ARTOIS NOM.";"FR0000076952";"ARTO";"Euronext Paris";"EUR";"4415,01";"4415,01";"4415,01";"4415,01";"01/03/2017 11:30";"CET";"1";"4415,01"
"ARTPRICE COM";"FR0000074783";"PRC";"Euronext Paris";"EUR";"13,05";"13,19";"13,05";"13,19";"10/03/2017 17:35";"CET";"9985";"131052,77"
"ARTSNET";"FR0010923433";"MLART";"Marché Libre Paris";"EUR";"13,71";"13,71";"13,71";"13,71";"20/06/2014 15:00";"CET";"8";"109,68"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"59,35";"59,35";"58,85";"59,25";"10/03/2017 17:28";"CET";"4993";"295050,13"
"ASHLER ET MANSON";"FR0012968485";"MLAEM";"Marché Libre Paris";"EUR";"1,50";"1,50";"1,50";"1,50";"09/03/2017 15:00";"CET";"103";"154,50"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"7,25";"7,399";"7,15";"7,399";"10/03/2017 16:36";"CET";"9902";"71639,487"
"ASK";"FR0011980077";"ASK";"Euronext Paris";"EUR";"1,54";"1,54";"1,50";"1,51";"10/03/2017 17:35";"CET";"63356";"96113,80"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"48,95";"49,62";"48,765";"48,98";"10/03/2017 17:42";"CET";"373135";"18366339,87"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"116,75";"117,35";"116,15";"116,60";"10/03/2017 17:35";"CET";"1154880";"134855535,65"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"26,82";"27,30";"26,82";"27,28";"10/03/2017 17:35";"CET";"210799";"5733537,005"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Amsterdam";"EUR";"13,73";"13,73";"13,73";"13,73";"06/03/2017 16:30";"CET";"300";"4119,00"
"ASSIMA";"GB00B19RTX44";"ALSIM";"Alternext Paris";"EUR";"2,40";"2,40";"2,40";"2,40";"22/02/2017 15:30";"CET";"250";"600,00"
"ASSYSTEM";"FR0000074148";"ASY";"Euronext Paris";"EUR";"31,03";"32,70";"30,75";"32,00";"10/03/2017 17:35";"CET";"27419";"864101,49"
"ASTELLIA";"FR0004176535";"ALAST";"Alternext Paris";"EUR";"6,10";"6,15";"6,06";"6,14";"10/03/2017 11:56";"CET";"1969";"12041,06"
"ATARI";"FR0010478248";"ATA";"Euronext Paris";"EUR";"0,20";"0,21";"0,20";"0,20";"10/03/2017 17:35";"CET";"125655";"25992,71"
"ATEME";"FR0011992700";"ATEME";"Euronext Paris";"EUR";"9,56";"9,86";"8,97";"9,35";"10/03/2017 17:35";"CET";"89885";"836375,52"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"50,00";"50,13";"49,865";"49,90";"10/03/2017 17:35";"CET";"3292";"164474,45"
"ATOS";"FR0000051732";"ATO";"Euronext Paris";"EUR";"113,00";"113,00";"110,90";"111,85";"10/03/2017 17:36";"CET";"451567";"50561211,35"
"ATOS SE NV";"FR0013227550";"ATONV";"Euronext Paris";"EUR";"110,59";"110,59";"110,39";"110,39";"10/03/2017 17:23";"CET";"166";"18344,74"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"4,10";"4,10";"3,88";"3,88";"09/03/2017 13:07";"CET";"1065";"4352,20"
"ATTIJARIWAFA BANK";"MA0000011827";"BCMA";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AUBAY";"FR0000063737";"AUB";"Euronext Paris";"EUR";"26,40";"26,89";"26,38";"26,85";"10/03/2017 17:35";"CET";"10509";"279402,67"
"AUDIENCE LABS";"FR0011896463";"MLAUD";"Marché Libre Paris";"EUR";"2,08";"2,08";"2,08";"2,08";"22/02/2017 15:00";"CET";"76";"158,08"
"AUFEMININ";"FR0004042083";"FEM";"Euronext Paris";"EUR";"30,50";"30,50";"30,15";"30,41";"10/03/2017 17:35";"CET";"2627";"79778,06"
"AUGROS COSMETICS";"FR0000061780";"AUGR";"Euronext Paris";"EUR";"3,00";"3,00";"2,90";"2,90";"23/02/2017 16:30";"CET";"759";"2276,10"
"AUPLATA";"FR0010397760";"ALAUP";"Alternext Paris";"EUR";"0,91";"0,91";"0,88";"0,88";"10/03/2017 17:35";"CET";"144203";"128421,42"
"AUREA";"FR0000039232";"AURE";"Euronext Paris";"EUR";"6,64";"6,85";"6,63";"6,70";"10/03/2017 16:45";"CET";"4783";"32182,27"
"AURES TECHNOLOGIES";"FR0013183589";"AURS";"Euronext Paris";"EUR";"21,50";"21,50";"21,48";"21,48";"10/03/2017 16:21";"CET";"1326";"28501,86"
"AVANQUEST";"FR0004026714";"AVQ";"Euronext Paris";"EUR";"0,367";"0,368";"0,356";"0,36";"10/03/2017 17:36";"CET";"3636446";"1317270,959"
"AVENIR TELECOM";"FR0000066052";"AVT";"Euronext Paris";"EUR";"0,10";"0,10";"0,09";"0,09";"10/03/2017 17:35";"CET";"297059";"27305,70"
"AVIATION LATECOERE";"FR0000032278";"LAT";"Euronext Paris";"EUR";"4,08";"4,12";"4,07";"4,08";"10/03/2017 17:35";"CET";"90565";"370716,40"
"AWOX";"FR0011800218";"AWOX";"Euronext Paris";"EUR";"2,45";"2,46";"2,40";"2,45";"10/03/2017 16:15";"CET";"13776";"33444,11"
"AXA";"FR0000120628";"CS";"Euronext Paris";"EUR";"24,115";"24,285";"23,87";"23,92";"10/03/2017 17:36";"CET";"6740682";"162224494,04"
"AXA NV";"FR0013228962";"CSNV";"Euronext Paris";"EUR";"22,98";"22,98";"22,75";"22,75";"10/03/2017 17:00";"CET";"900";"20653,25"
"AXWAY SOFTWARE";"FR0011040500";"AXW";"Euronext Paris";"EUR";"32,68";"32,90";"32,65";"32,75";"10/03/2017 17:35";"CET";"8313";"272121,89"
"AZ LEASING";"IT0004812258";"MLAZL";"Marché Libre Paris";"EUR";"0,50";"0,50";"0,50";"0,50";"16/02/2017 15:00";"CET";"10";"5,00"
"AZOREAN TECH";"PTAZR0AM0006";"MLAAT";"Marché Libre Paris";"EUR";"0,15";"0,15";"0,15";"0,15";"17/01/2017 15:00";"CET";"6000";"900,00"
"B.COM.PORTUGUES";"PTBCP0AM0015";"BCP";"Euronext Lisbon";"EUR";"0,159";"0,1614";"0,1578";"0,16";"10/03/2017 16:39";"GMT";"98679959";"15806031,5861"
"BACCARAT";"FR0000064123";"BCRA";"Euronext Paris";"EUR";"226,87";"226,87";"221,00";"221,00";"10/03/2017 16:30";"CET";"80";"17738,70"
"BAINS MER MONACO";"MC0000031187";"BAIN";"Euronext Paris";"EUR";"32,66";"33,16";"32,66";"33,16";"10/03/2017 17:25";"CET";"55";"1808,80"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"5,053";"5,099";"5,052";"5,052";"10/03/2017 17:35";"CET";"1250747";"6356246,822"
"BAMBU";"CH0309050059";"MLBAM";"Marché Libre Paris";"EUR";"0,51";"0,51";"0,51";"0,51";"07/03/2017 15:00";"CET";"11";"5,61"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Amsterdam";"EUR";"6,90";"6,90";"6,90";"6,90";"10/03/2017 16:30";"CET";"553";"3815,70"
"BANCO BPI";"PTBPI0AM0004";"BPI";"Euronext Lisbon";"EUR";"1,039";"1,057";"1,039";"1,05";"10/03/2017 16:35";"GMT";"225376";"236688,183"
"BANCO SANTANDER";"ES0113900J37";"SANT";"Euronext Lisbon";"EUR";"5,42";"5,57";"5,42";"5,50";"10/03/2017 16:26";"GMT";"132930";"731704,02"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Amsterdam";"EUR";"5,55";"5,55";"5,47";"5,47";"10/03/2017 16:57";"CET";"2235";"12342,25"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"4,00";"4,015";"3,98";"3,99";"10/03/2017 17:35";"CET";"11410";"45585,607"
"BARBARA BUI";"FR0000062788";"BUI";"Euronext Paris";"EUR";"11,01";"11,01";"11,01";"11,01";"10/03/2017 16:30";"CET";"50";"550,50"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"84,73";"87,84";"84,11";"87,41";"10/03/2017 17:35";"CET";"28433";"2457961,45"
"BASIC-FIT";"NL0011872650";"BFIT";"Euronext Amsterdam";"EUR";"16,65";"16,70";"16,36";"16,645";"10/03/2017 17:37";"CET";"20719";"342676,445"
"BASILIX CERT";"BE0003674851";"BAS";"Euronext Brussels";"EUR";"27,17";"27,17";"27,17";"27,17";"23/02/2017 15:00";"CET";"42";"1141,14"
"BASTIDE LE CONFORT";"FR0000035370";"BLC";"Euronext Paris";"EUR";"29,19";"29,75";"29,16";"29,30";"10/03/2017 17:35";"CET";"10882";"320413,69"
"BATENBURG TECHNIEK";"NL0006292906";"BATEN";"Euronext Amsterdam";"EUR";"27,695";"27,85";"27,695";"27,85";"10/03/2017 17:02";"CET";"958";"26636,92"
"BATLA MINERALS";"FR0010436170";"MLBAT";"Marché Libre Paris";"EUR";"1,80";"1,80";"1,80";"1,80";"09/03/2017 15:00";"CET";"1974";"3553,20"
"BD MULTI MEDIA";"FR0000035305";"ALBDM";"Alternext Paris";"EUR";"2,10";"2,10";"2,10";"2,10";"10/03/2017 15:30";"CET";"15";"31,50"
